time,dt,student,test
2079.282678,0.500023,S1,Final
2079.798327,0.515649,S1,Final
2080.282724,0.484397,S1,Final
2080.860876,0.578151,S1,Final
2081.298396,0.43752,S1,Final
2081.814044,0.515649,S1,Final
2082.282816,0.468771,S1,Final
2082.829716,0.5469,S1,Final
2083.345364,0.515649,S1,Final
2083.892264,0.5469,S1,Final
2084.439164,0.5469,S1,Final
2088.892493,0.562526,S1,Final
2092.392653,0.531274,S1,Final
2092.923928,0.531274,S1,Final
2093.423951,0.500023,S1,Final
2093.908348,0.484397,S1,Final
2096.752228,0.484397,S1,Final
2097.220999,0.468771,S1,Final
2097.752274,0.531274,S1,Final
2098.252297,0.500023,S1,Final
2098.736694,0.484397,S1,Final
2099.283594,0.5469,S1,Final
2099.767991,0.484397,S1,Final
2113.315486,0.468771,S1,Final
2117.690686,0.484397,S1,Final
2118.300089,0.609403,S1,Final
2129.488101,0.484397,S1,Final
2129.956873,0.468771,S1,Final
2130.503773,0.5469,S1,Final
2131.050673,0.5469,S1,Final
2134.285196,0.421894,S1,Final
2134.832096,0.5469,S1,Final
2166.864812,0.5469,S1,Final
2167.317958,0.453146,S1,Final
2167.864858,0.5469,S1,Final
2168.380507,0.515649,S1,Final
2168.88053,0.500023,S1,Final
2169.396178,0.515649,S1,Final
2169.911827,0.515649,S1,Final
2177.380919,0.500023,S1,Final
2186.334454,0.468771,S1,Final
2190.912788,0.515649,S1,Final
2191.428437,0.515649,S1,Final
2191.959711,0.531274,S1,Final
2192.47536,0.515649,S1,Final
2193.006634,0.531274,S1,Final
2193.537908,0.531274,S1,Final
2194.037931,0.500023,S1,Final
2194.55358,0.515649,S1,Final
2195.069228,0.515649,S1,Final
2195.553626,0.484397,S1,Final
2196.022397,0.468771,S1,Final
2196.491168,0.468771,S1,Final
2196.975566,0.484397,S1,Final
2197.459963,0.484397,S1,Final
2198.022489,0.562526,S1,Final
2198.569389,0.5469,S1,Final
2199.069412,0.500023,S1,Final
2201.710157,0.515649,S1,Final
2202.132052,0.421894,S1,Final
2202.678952,0.5469,S1,Final
2208.179204,0.484397,S1,Final
2208.679226,0.500023,S1,Final
2209.226126,0.5469,S1,Final
2209.679272,0.453146,S1,Final
2210.179295,0.500023,S1,Final
2214.054472,0.453146,S1,Final
2217.867147,0.484397,S1,Final
2218.289041,0.421894,S1,Final
2218.80469,0.515649,S1,Final
2219.289087,0.484397,S1,Final
2219.757859,0.468771,S1,Final
2220.242256,0.484397,S1,Final
2220.711027,0.468771,S1,Final
2221.195424,0.484397,S1,Final
2221.632944,0.43752,S1,Final
2222.148593,0.515649,S1,Final
2222.664242,0.515649,S1,Final
2223.086136,0.421894,S1,Final
2223.570533,0.484397,S1,Final
2224.039304,0.468771,S1,Final
2224.570579,0.531274,S1,Final
2225.070602,0.500023,S1,Final
2225.539373,0.468771,S1,Final
2226.117525,0.578151,S1,Final
2226.555045,0.43752,S1,Final
2227.039442,0.484397,S1,Final
2227.523839,0.484397,S1,Final
2227.976985,0.453146,S1,Final
2230.883368,0.43752,S1,Final
2231.367765,0.484397,S1,Final
2231.883414,0.515649,S1,Final
2232.336559,0.453146,S1,Final
2232.899085,0.562526,S1,Final
2233.383482,0.484397,S1,Final
2233.867879,0.484397,S1,Final
2234.352277,0.484397,S1,Final
2234.805422,0.453146,S1,Final
2241.74324,0.515649,S1,Final
2244.180851,0.531274,S1,Final
2244.680874,0.500023,S1,Final
2247.681012,0.468771,S1,Final
2248.165409,0.484397,S1,Final
2248.681057,0.515649,S1,Final
2249.18108,0.500023,S1,Final
2249.665478,0.484397,S1,Final
2250.212378,0.5469,S1,Final
2261.681653,0.500023,S1,Final
2262.181675,0.500023,S1,Final
2262.681698,0.500023,S1,Final
2275.119768,0.484397,S1,Final
2275.651042,0.531274,S1,Final
2276.088562,0.43752,S1,Final
2276.572959,0.484397,S1,Final
2277.041731,0.468771,S1,Final
2277.541754,0.500023,S1,Final
2278.010525,0.468771,S1,Final
2278.526174,0.515649,S1,Final
2279.026196,0.500023,S1,Final
2279.510594,0.484397,S1,Final
2282.448228,0.421894,S1,Final
2283.010754,0.562526,S1,Final
2283.667034,0.65628,S1,Final
2285.823383,0.453146,S1,Final
2286.339031,0.515649,S1,Final
2289.80794,0.500023,S1,Final
2290.292337,0.484397,S1,Final
2293.214346,0.468771,S1,Final
2297.230155,0.5469,S1,Final
2297.730178,0.500023,S1,Final
2298.214575,0.484397,S1,Final
2298.698972,0.484397,S1,Final
2299.167743,0.468771,S1,Final
2299.699018,0.531274,S1,Final
2300.199041,0.500023,S1,Final
2306.386824,0.484397,S1,Final
2325.918968,0.453146,S1,Final
2326.356488,0.43752,S1,Final
2326.872137,0.515649,S1,Final
2327.497165,0.625029,S1,Final
2329.716017,0.453146,S1,Final
2330.231665,0.515649,S1,Final
2330.65356,0.421894,S1,Final
2337.138232,0.562526,S1,Final
2337.65388,0.515649,S1,Final
2338.20078,0.5469,S1,Final
2370.374128,0.515649,S1,Final
2370.858525,0.484397,S1,Final
2471.78502,0.531274,S1,Final
2472.316294,0.531274,S1,Final
2472.816317,0.500023,S1,Final
2473.363217,0.5469,S1,Final
2473.988246,0.625029,S1,Final
2474.488269,0.500023,S1,Final
2475.128923,0.640654,S1,Final
2475.660197,0.531274,S1,Final
2476.207097,0.5469,S1,Final
2476.738372,0.531274,S1,Final
2477.332149,0.593777,S1,Final
2477.925926,0.593777,S1,Final
2478.425949,0.500023,S1,Final
2478.957223,0.531274,S1,Final
2479.457246,0.500023,S1,Final
2480.082275,0.625029,S1,Final
2483.926201,0.65628,S1,Final
2484.535604,0.609403,S1,Final
2485.129381,0.593777,S1,Final
2485.691906,0.562526,S1,Final
2491.317164,0.671906,S1,Final
2491.910941,0.593777,S1,Final
2492.551595,0.640654,S1,Final
2493.160998,0.609403,S1,Final
2493.723524,0.562526,S1,Final
2494.317301,0.593777,S1,Final
2494.879827,0.562526,S1,Final
2527.72508,0.76566,S1,Final
2591.774887,0.5469,S1,Final
2595.478182,0.531274,S1,Final
2596.040708,0.562526,S1,Final
2596.587608,0.5469,S1,Final
2597.103256,0.515649,S1,Final
2609.74446,0.5469,S1,Final
2610.260108,0.515649,S1,Final
2610.775757,0.515649,S1,Final
2611.307031,0.531274,S1,Final
2611.82268,0.515649,S1,Final
2612.36958,0.5469,S1,Final
2612.91648,0.5469,S1,Final
2613.494632,0.578151,S1,Final
2614.01028,0.515649,S1,Final
2614.572806,0.562526,S1,Final
2622.276284,0.531274,S1,Final
2622.870061,0.593777,S1,Final
2623.416961,0.5469,S1,Final
2623.995112,0.578151,S1,Final
2624.542012,0.5469,S1,Final
2627.229635,0.5469,S1,Final
2627.745284,0.515649,S1,Final
2628.354687,0.609403,S1,Final
2629.026592,0.671906,S1,Final
2667.762741,0.5469,S1,Final
2682.841556,0.578151,S1,Final
2696.232794,0.578151,S1,Final
2726.109161,0.562526,S1,Final
2726.702939,0.593777,S1,Final
2727.296716,0.593777,S1,Final
2760.141969,0.5469,S1,Final
2760.735746,0.593777,S1,Final
2761.313898,0.578151,S1,Final
2761.876424,0.562526,S1,Final
2792.502826,0.65628,S1,Final
2851.458649,0.5469,S1,Final
2851.927421,0.468771,S1,Final
2858.005824,0.531274,S1,Final
2858.583976,0.578151,S1,Final
2859.130876,0.5469,S1,Final
2859.709027,0.578151,S1,Final
2860.240301,0.531274,S1,Final
2887.007152,0.609403,S1,Final
2887.554052,0.5469,S1,Final
2888.100952,0.5469,S1,Final
2888.679103,0.578151,S1,Final
2889.226003,0.5469,S1,Final
2889.741652,0.515649,S1,Final
2890.288552,0.5469,S1,Final
2890.819826,0.531274,S1,Final
2891.335475,0.515649,S1,Final
2891.851123,0.515649,S1,Final
2892.335521,0.484397,S1,Final
2892.819918,0.484397,S1,Final
2893.366818,0.5469,S1,Final
2893.882466,0.515649,S1,Final
2894.413741,0.531274,S1,Final
2894.976266,0.562526,S1,Final
2895.523166,0.5469,S1,Final
2896.038815,0.515649,S1,Final
2900.72653,0.515649,S1,Final
2901.210927,0.484397,S1,Final
2901.726575,0.515649,S1,Final
2902.226598,0.500023,S1,Final
2902.773498,0.5469,S1,Final
2903.289147,0.515649,S1,Final
2903.851673,0.562526,S1,Final
2904.33607,0.484397,S1,Final
2908.976907,0.531274,S1,Final
2909.47693,0.500023,S1,Final
2910.008204,0.531274,S1,Final
2910.523853,0.515649,S1,Final
2911.102005,0.578151,S1,Final
2911.586402,0.484397,S1,Final
2912.164553,0.578151,S1,Final
2912.64895,0.484397,S1,Final
2913.117722,0.468771,S1,Final
2913.63337,0.515649,S1,Final
2914.164645,0.531274,S1,Final
2914.695919,0.531274,S1,Final
2915.180316,0.484397,S1,Final
2920.086791,0.531274,S1,Final
2920.618065,0.531274,S1,Final
2921.133714,0.515649,S1,Final
2921.633737,0.500023,S1,Final
2922.165011,0.531274,S1,Final
2922.727537,0.562526,S1,Final
2923.196308,0.468771,S1,Final
2923.696331,0.500023,S1,Final
2924.274482,0.578151,S1,Final
2924.75888,0.484397,S1,Final
2981.68336,0.500023,S1,Final
2982.261512,0.578151,S1,Final
3028.169863,0.5469,S1,Final
3028.732389,0.562526,S1,Final
3029.31054,0.578151,S1,Final
3029.919943,0.609403,S1,Final
3048.717679,0.703157,S1,Final
3049.452087,0.734409,S1,Final
3058.452499,0.562526,S1,Final
3059.030651,0.578151,S1,Final
3063.296471,0.609403,S1,Final
3063.765243,0.468771,S1,Final
3064.343394,0.578151,S1,Final
3084.063047,0.593777,S1,Final
3084.547444,0.484397,S1,Final
3085.141221,0.593777,S1,Final
3085.641244,0.500023,S1,Final
3094.704159,0.562526,S1,Final
3095.297936,0.593777,S1,Final
3095.813585,0.515649,S1,Final
3096.360485,0.5469,S1,Final
3096.907385,0.5469,S1,Final
3100.970071,0.531274,S1,Final
3124.330515,0.65628,S1,Final
3125.049298,0.718783,S1,Final
3125.611824,0.562526,S1,Final
3126.158724,0.5469,S1,Final
3126.721249,0.562526,S1,Final
3146.269019,0.562526,S1,Final
3189.896016,0.5469,S1,Final
3190.442916,0.5469,S1,Final
3191.005442,0.562526,S1,Final
3191.583594,0.578151,S1,Final
3192.177371,0.593777,S1,Final
3192.739897,0.562526,S1,Final
3209.896932,0.671906,S1,Final
3210.475083,0.578151,S1,Final
3211.037609,0.562526,S1,Final
3215.944084,0.578151,S1,Final
3232.679225,0.5469,S1,Final
3233.24175,0.562526,S1,Final
3233.773025,0.531274,S1,Final
3234.366802,0.593777,S1,Final
3234.944953,0.578151,S1,Final
3235.538731,0.593777,S1,Final
3236.070005,0.531274,S1,Final
3236.585654,0.515649,S1,Final
3237.163805,0.578151,S1,Final
3265.055707,0.515649,S1,Final
3265.618232,0.562526,S1,Final
3266.040127,0.421894,S1,Final
3311.21407,0.578151,S1,Final
3311.776595,0.562526,S1,Final
3314.71423,0.625029,S1,Final
3372.498125,0.718783,S1,Final
3373.107528,0.609403,S1,Final
3448.704738,0.640654,S1,Final
3449.376644,0.671906,S1,Final
3450.001673,0.625029,S1,Final
3543.44345,0.625029,S1,Final
3559.303551,0.671906,S1,Final
3559.959831,0.65628,S1,Final
3560.631737,0.671906,S1,Final
3561.303643,0.671906,S1,Final
3601.117965,0.671906,S1,Final
3601.633614,0.515649,S1,Final
3602.274268,0.640654,S1,Final
3618.540637,0.640654,S1,Final
3619.196917,0.65628,S1,Final
3619.712566,0.515649,S1,Final
3620.337595,0.625029,S1,Final
3620.821992,0.484397,S1,Final
3633.744458,0.484397,S1,Final
3634.291358,0.5469,S1,Final
3634.822633,0.531274,S1,Final
3635.322655,0.500023,S1,Final
3635.869555,0.5469,S1,Final
3636.432081,0.562526,S1,Final
3639.010324,0.500023,S1,Final
3639.604101,0.593777,S1,Final
3640.197879,0.593777,S1,Final
3640.807281,0.609403,S1,Final
3657.37054,0.578151,S1,Final
3658.011194,0.640654,S1,Final
3658.714351,0.703157,S1,Final
3663.38644,0.468771,S1,Final
3663.964592,0.578151,S1,Final
3664.417737,0.453146,S1,Final
3664.91776,0.500023,S1,Final
3683.324853,0.531274,S1,Final
3691.559605,0.609403,S1,Final
3692.278388,0.718783,S1,Final
3692.903416,0.625029,S1,Final
3693.590948,0.687531,S1,Final
3697.794265,0.562526,S1,Final
3748.421582,0.65628,S1,Final
3749.01536,0.593777,S1,Final
3749.546634,0.531274,S1,Final
3750.093534,0.5469,S1,Final
3750.624808,0.531274,S1,Final
3751.20296,0.578151,S1,Final
3751.718608,0.515649,S1,Final
3752.249883,0.531274,S1,Final
3752.765531,0.515649,S1,Final
3753.312431,0.5469,S1,Final
3753.999963,0.687531,S1,Final
3775.188433,0.500023,S1,Final
3789.595342,0.484397,S1,Final
3797.533206,0.468771,S1,Final
3823.95629,0.562526,S1,Final
3843.363428,0.468771,S1,Final
3843.988457,0.625029,S1,Final
3844.472854,0.484397,S1,Final
3845.160386,0.687531,S1,Final
3845.769789,0.609403,S1,Final
3855.317101,0.5469,S1,Final
3863.504975,0.953169,S1,Final
3876.646202,0.578151,S1,Final
3910.100858,0.609403,S1,Final
3910.882144,0.781286,S1,Final
3911.66343,0.781286,S1,Final
3914.257298,0.500023,S1,Final
3914.788573,0.531274,S1,Final
3915.460479,0.671906,S1,Final
3916.023004,0.562526,S1,Final
3916.554279,0.531274,S1,Final
3917.163682,0.609403,S1,Final
3927.898548,0.515649,S1,Final
4005.339593,0.531274,S1,Final
4005.980247,0.640654,S1,Final
4006.542773,0.562526,S1,Final
4007.042796,0.500023,S1,Final
4007.667824,0.625029,S1,Final
4008.245976,0.578151,S1,Final
4008.917881,0.671906,S1,Final
4009.574162,0.65628,S1,Final
4010.152313,0.578151,S1,Final
4010.777342,0.625029,S1,Final
4011.371119,0.593777,S1,Final
4011.94927,0.578151,S1,Final
4012.589925,0.640654,S1,Final
4018.855836,0.593777,S1,Final
4019.512116,0.65628,S1,Final
4020.168396,0.65628,S1,Final
4020.777799,0.609403,S1,Final
4090.109098,0.593777,S1,Final
4090.734127,0.625029,S1,Final
4091.234149,0.500023,S1,Final
4100.765836,0.578151,S1,Final
4101.390864,0.625029,S1,Final
4101.95339,0.562526,S1,Final
4102.562793,0.609403,S1,Final
4103.15657,0.593777,S1,Final
4140.236392,0.500023,S1,Final
4140.736415,0.500023,S1,Final
4141.283315,0.5469,S1,Final
4141.877092,0.593777,S1,Final
4142.345864,0.468771,S1,Final
4142.986518,0.640654,S1,Final
4143.56467,0.578151,S1,Final
4144.22095,0.65628,S1,Final
4144.783475,0.562526,S1,Final
4145.31475,0.531274,S1,Final
4145.908527,0.593777,S1,Final
4149.299307,0.5469,S1,Final
4149.861833,0.562526,S1,Final
4154.596425,0.5469,S1,Final
4155.112073,0.515649,S1,Final
4155.690225,0.578151,S1,Final
4156.299628,0.609403,S1,Final
4156.784025,0.484397,S1,Final
4167.300131,0.562526,S1,Final
4167.878283,0.578151,S1,Final
4168.612691,0.734409,S1,Final
4169.331474,0.718783,S1,Final
4170.065883,0.734409,S1,Final
4170.800291,0.734409,S1,Final
4171.550326,0.750034,S1,Final
4172.206606,0.65628,S1,Final
4172.831634,0.625029,S1,Final
4173.425411,0.593777,S1,Final
4173.972311,0.5469,S1,Final
4174.550463,0.578151,S1,Final
4175.14424,0.593777,S1,Final
4175.722392,0.578151,S1,Final
4176.331795,0.609403,S1,Final
4176.925572,0.593777,S1,Final
4177.5506,0.625029,S1,Final
4178.253757,0.703157,S1,Final
4178.988166,0.734409,S1,Final
4179.644446,0.65628,S1,Final
4180.222598,0.578151,S1,Final
4180.816375,0.593777,S1,Final
4186.660392,0.625029,S1,Final
4195.738933,0.531274,S1,Final
4214.724177,0.515649,S1,Final
4215.271077,0.5469,S1,Final
4215.833603,0.562526,S1,Final
4216.474257,0.640654,S1,Final
4216.943028,0.468771,S1,Final
4217.458677,0.515649,S1,Final
4218.005577,0.5469,S1,Final
4218.661857,0.65628,S1,Final
4221.193223,0.515649,S1,Final
4221.724497,0.531274,S1,Final
4222.193269,0.468771,S1,Final
4222.787046,0.593777,S1,Final
4223.302695,0.515649,S1,Final
4223.833969,0.531274,S1,Final
4224.443372,0.609403,S1,Final
4225.005898,0.562526,S1,Final
4225.568423,0.562526,S1,Final
4226.146575,0.578151,S1,Final
4226.630972,0.484397,S1,Final
4227.240375,0.609403,S1,Final
4227.771649,0.531274,S1,Final
4228.302923,0.531274,S1,Final
4228.849823,0.5469,S1,Final
4231.818709,0.640654,S1,Final
4232.396861,0.578151,S1,Final
4232.990638,0.593777,S1,Final
4233.553164,0.562526,S1,Final
4234.146941,0.593777,S1,Final
4234.678215,0.531274,S1,Final
4235.334495,0.65628,S1,Final
4235.881395,0.5469,S1,Final
4236.428295,0.5469,S1,Final
4237.022073,0.593777,S1,Final
4237.584598,0.562526,S1,Final
4238.16275,0.578151,S1,Final
4238.740901,0.578151,S1,Final
4239.381556,0.640654,S1,Final
4246.100613,0.625029,S1,Final
4250.085171,0.531274,S1,Final
4250.678948,0.593777,S1,Final
4251.210222,0.531274,S1,Final
4306.494003,0.625029,S1,Final
4307.119031,0.625029,S1,Final
4307.650306,0.531274,S1,Final
4327.61997,0.593777,S1,Final
4328.260624,0.640654,S1,Final
4328.885653,0.625029,S1,Final
4329.557558,0.671906,S1,Final
4330.13571,0.578151,S1,Final
4330.745113,0.609403,S1,Final
4331.370141,0.625029,S1,Final
4331.932667,0.562526,S1,Final
4359.402674,0.515649,S1,Final
4359.933949,0.531274,S1,Final
4360.543351,0.609403,S1,Final
4361.152754,0.609403,S1,Final
4361.730906,0.578151,S1,Final
4362.37156,0.640654,S1,Final
4363.059092,0.687531,S1,Final
4381.59119,0.531274,S1,Final
4382.153716,0.562526,S1,Final
4382.825621,0.671906,S1,Final
4383.356896,0.531274,S1,Final
4383.966299,0.609403,S1,Final
4384.450696,0.484397,S1,Final
4385.028847,0.578151,S1,Final
4385.560122,0.531274,S1,Final
4386.18515,0.625029,S1,Final
4386.747676,0.562526,S1,Final
4387.27895,0.531274,S1,Final
4387.763347,0.484397,S1,Final
4388.37275,0.609403,S1,Final
4388.950902,0.578151,S1,Final
4389.497802,0.5469,S1,Final
4402.498397,0.562526,S1,Final
4417.858475,0.640654,S1,Final
4422.311804,0.640654,S1,Final
4439.328208,0.609403,S1,Final
4439.906359,0.578151,S1,Final
4440.484511,0.578151,S1,Final
4441.062662,0.578151,S1,Final
4441.625188,0.562526,S1,Final
4442.218965,0.593777,S1,Final
4442.734614,0.515649,S1,Final
4443.437771,0.703157,S1,Final
4450.875611,0.593777,S1,Final
4451.469388,0.593777,S1,Final
4452.219423,0.750034,S1,Final
4456.578997,0.625029,S1,Final
4457.141523,0.562526,S1,Final
4457.766552,0.625029,S1,Final
4458.485335,0.718783,S1,Final
4459.172866,0.687531,S1,Final
4462.594898,0.515649,S1,Final
4463.079295,0.484397,S1,Final
4470.876527,0.718783,S1,Final
